participants,item,score
17,13,404.9901818
17,14,0
17,15,194.9952727
17,16,0
17,17,-788.3142222
17,18,-381.6574141
17,19,0
17,20,248.3273131
18,1,436.6666667
18,2,-723.3333333
18,3,123.3333333
18,4,61.66666667
18,5,-600
18,6,0
18,7,-195
18,8,1070
18,9,631.6666667
18,10,0
18,11,28.33333333
18,12,640
18,13,1201.666667
18,14,461.6666667
18,15,0
18,16,388.3333333
18,17,-710
18,18,710
18,19,1203.333333
18,20,-391.6666667
19,1,0
19,2,433.3359596
19,3,416.6691919
19,4,0
19,5,0
19,6,0
19,7,0
19,8,0
19,9,0
19,10,0
19,11,0
19,12,0
19,13,0
19,14,0
19,15,0
19,16,0
19,17,0
19,18,0
19,19,0
19,20,0
20,1,1083.346465
20,2,-3.333373737
20,3,-896.6775354
20,4,-306.6703838
20,5,303.3370101
20,6,75.00090909
20,7,-306.6703838
20,8,-150.0018182
20,9,511.6728687
20,10,-401.6715354
20,11,-468.3390101
20,12,-468.3390101
20,13,751.6757778
20,14,-126.668202
20,15,453.3388283
20,16,228.336101
20,17,41.66717172
20,18,270.0032727
20,19,-741.6756566
20,20,833.3434343
21,1,1258.325707
21,2,-224.9986364
21,3,-166.6656566
21,4,259.9984242
21,5,-186.6655354
21,6,378.3310404
21,7,608.3296465
21,8,93.33276768
21,9,361.6644747
21,10,791.6618687
21,11,1384.991606
21,12,1891.655202
21,13,-28.33316162
21,14,728.3289192
21,15,-1536.657354
21,16,308.3314646
21,17,2089.987333
21,18,434.9973636
21,19,1404.991485
21,20,-273.3316768
22,1,656.6746263
22,2,-1276.682141
22,3,936.6780202
22,4,-506.6728081
22,5,850.010303
22,6,-1248.348465
22,7,-956.6782626
22,8,-301.6703232
22,9,-1030.012485
22,10,-193.3356768
22,11,-295.0035758
22,12,-15.00018182
22,13,-293.3368889
22,14,-218.3359798
22,15,1386.683475
22,16,518.3396162
22,17,653.3412525
22,18,-993.3453737
22,19,1528.351859
22,20,455.0055152
23,1,-454.9972424
23,2,-568.3298889
23,3,-456.663899
23,4,349.9978788
23,5,-119.9992727
23,6,-151.6657475
23,7,264.9983939
23,8,-331.6646566
23,9,-59.99963636
23,10,349.9978788
23,11,329.998
23,12,854.9948182
23,13,-96.66608081
23,14,599.9963636
23,15,-461.6638687
23,16,548.3300101
23,17,-109.9993333
23,18,-128.3325556
23,19,438.3306768
23,20,463.3305253
24,1,665
24,2,456.6666667
24,3,786.6666667
24,4,930
24,5,-698.3333333
24,6,1086.666667
24,7,-8.333333333
24,8,-81.66666667
24,9,525
24,10,1253.333333
24,11,795
24,12,341.6666667
24,13,-456.6666667
24,14,1025
24,15,5
24,16,-1368.333333
24,17,123.3333333
24,18,160
24,19,-188.3333333
24,20,-476.6666667
25,1,831.6666667
25,2,1313.333333
25,3,-326.6666667
25,4,-941.6666667
25,5,848.3333333
25,6,1805
25,7,221.6666667
25,8,905
25,9,1011.666667
25,10,405
25,11,-298.3333333
25,12,256.6666667
25,13,443.3333333
25,14,-630
25,15,-1040
25,16,183.3333333
25,17,-616.6666667
25,18,261.6666667
25,19,878.3333333
25,20,-1783.333333
26,1,-616.6666667
26,2,1281.666667
26,3,-136.6666667
26,4,810
26,5,-1743.333333
26,6,-798.3333333
26,7,908.3333333
26,8,-101.6666667
26,9,1395
26,10,-690
26,11,-1461.666667
26,12,15
26,13,805
26,14,-743.3333333
26,15,1735
26,16,-528.3333333
26,17,105
